Filetime;VL-Temperatur (Soll);VL-Temperatur (Ist);RL-Temperatur (Ist);Öffnung des Durchgangsventils (Soll)
132912214366430000;40;41.1;39.4;19.8359184
132912214366530000;40;41.1;39.4;19.8359184
132912214366630000;40;41.1;39.4;19.8359184
132912214366730000;40;41.1;39.4;19.8359184
132912214366830000;40;41.1;39.4;19.8359184
132912214366930000;40;41.1;39.4;19.824461
132912214367030000;40;41.1;39.4;19.824461
132912214367130000;40;41.1;39.4;19.824461
132912214367230000;40;41.1;39.4;19.824461
132912214367330000;40;41.1;39.4;19.824461
132912214367430000;40;41.1;39.4;19.8130035
132912214367530000;40;41.1;39.4;19.8130035
132912214367630000;40;41.1;39.4;19.8130035
132912214367730000;40;41.1;39.4;19.8130035
132912214367830000;40;41.1;39.4;19.8130035
132912214367930000;40;41.1;39.4;19.8015442
132912214368030000;40;41.1;39.4;19.8015442
132912214368130000;40;41.1;39.4;19.8015442
132912214368230000;40;41.1;39.5;19.8015442
132912214368330000;40;41.1;39.5;19.8015442
132912214368430000;40;41.1;39.5;19.7900867
132912214368530000;40;41.1;39.5;19.7900867
132912214368630000;40;41.1;39.5;19.7900867
132912214368730000;40;41.1;39.5;19.7900867
132912214368830000;40;41.1;39.5;19.7900867
132912214368930000;40;41.1;39.5;19.7786274
132912214369030000;40;41.1;39.5;19.7786274
132912214369130000;40;41.1;39.5;19.7786274
132912214369230000;40;41.1;39.5;19.7786274
132912214369330000;40;41.1;39.5;19.7786274
132912214369430000;40;41.1;39.5;19.76717
132912214369530000;40;41.1;39.5;19.76717
132912214369630000;40;41.1;39.5;19.76717
132912214369730000;40;41.1;39.5;19.76717
132912214369830000;40;41.1;39.5;19.76717
132912214369930000;40;41.1;39.5;19.75571
132912214370030000;40;41.1;39.5;19.75571
132912214370130000;40;41.1;39.5;19.75571
132912214370230000;40;41.1;39.5;19.75571
132912214370330000;40;41.1;39.5;19.75571
132912214370430000;40;41.1;39.5;19.7442532
132912214370530000;40;41.1;39.5;19.7442532
132912214370630000;40;41.1;39.5;19.7442532
132912214370730000;40;41.1;39.5;19.7442532
132912214370830000;40;41.1;39.5;19.7442532
132912214370930000;40;41.1;39.5;19.7327938
132912214371030000;40;41.1;39.5;19.7327938
132912214371130000;40;41.1;39.5;19.7327938
132912214371230000;40;41.1;39.5;19.7327938
132912214371330000;40;41.1;39.5;19.7327938
132912214371430000;40;41.1;39.5;19.7213364
132912214371530000;40;41.1;39.5;19.7213364
132912214371630000;40;41.1;39.5;19.7213364
132912214371730000;40;41.1;39.5;19.7213364
132912214371830000;40;41.1;39.5;19.7213364
132912214371930000;40;41.1;39.5;19.709877
132912214372030000;40;41.1;39.5;19.709877
132912214372130000;40;41.1;39.5;19.709877
132912214372230000;40;41.1;39.5;19.709877
132912214372330000;40;41.1;39.5;19.709877
132912214372430000;40;41.1;39.5;19.69842
132912214372530000;40;41.1;39.5;19.69842
132912214372630000;40;41.1;39.5;19.69842
132912214372730000;40;41.1;39.5;19.69842
132912214372830000;40;41.1;39.5;19.69842
132912214372930000;40;41.1;39.5;19.6869621
132912214373030000;40;41.1;39.5;19.6869621
132912214373130000;40;41.1;39.5;19.6869621
132912214373230000;40;41.1;39.5;19.6869621
132912214373330000;40;41.1;39.5;19.6869621
132912214373430000;40;41.1;39.5;19.6755028
132912214373530000;40;41.1;39.5;19.6755028
132912214373630000;40;41.1;39.5;19.6755028
132912214373730000;40;41.1;39.5;19.6755028
132912214373830000;40;41.1;39.5;19.6755028
132912214373930000;40;41.1;39.5;19.6640453
132912214374030000;40;41.1;39.5;19.6640453
132912214374130000;40;41.1;39.5;19.6640453
132912214374230000;40;41.1;39.5;19.6640453
132912214374330000;40;41.1;39.5;19.6640453
132912214374430000;40;41.1;39.5;19.652586
132912214374530000;40;41.1;39.5;19.652586
132912214374630000;40;41.1;39.5;19.652586
132912214374730000;40;41.1;39.5;19.652586
132912214374830000;40;41.1;39.5;19.652586
132912214374930000;40;41.1;39.5;19.6411285
132912214375030000;40;41.1;39.5;19.6411285
132912214375130000;40;41.1;39.5;19.6411285
132912214375230000;40;41.1;39.5;19.6411285
132912214375330000;40;41.1;39.5;19.6411285
132912214375430000;40;41.1;39.5;19.62967
132912214375530000;40;41.1;39.5;19.62967
132912214375630000;40;41.1;39.5;19.62967
132912214375730000;40;41.1;39.5;19.62967
132912214375830000;40;41.1;39.5;19.62967
132912214375930000;40;41.1;39.5;19.6182117
132912214376030000;40;41.1;39.5;19.6182117
132912214376130000;40;41.1;39.5;19.6182117
132912214376230000;40;41.1;39.5;19.6182117
132912214376330000;40;41.1;39.5;19.6182117
132912214376430000;40;41.1;39.5;19.6067524
132912214376530000;40;41.1;39.5;19.6067524
132912214376630000;40;41.1;39.5;19.6067524
132912214376730000;40;41.1;39.5;19.6067524
132912214376830000;40;41.1;39.5;19.6067524
132912214376930000;40;41.1;39.5;19.595295
132912214377030000;40;41.1;39.5;19.595295
132912214377130000;40;41.1;39.5;19.595295
132912214377230000;40;41.1;39.5;19.595295
132912214377330000;40;41.1;39.5;19.595295
132912214377430000;40;41.1;39.5;19.5838356
132912214377530000;40;41.1;39.5;19.5838356
132912214377630000;40;41.1;39.5;19.5838356
132912214377730000;40;41.1;39.5;19.5838356
132912214377830000;40;41.1;39.5;19.5838356
132912214377930000;40;41.1;39.5;19.5723782
132912214378030000;40;41.1;39.5;19.5723782
132912214378130000;40;41.1;39.5;19.5723782
132912214378230000;40;41.1;39.5;19.5723782
132912214378330000;40;41.1;39.5;19.5723782
132912214378430000;40;41.1;39.5;19.5609188
132912214378530000;40;41.1;39.5;19.5609188
