Filetime;VL-Temperatur (Soll);VL-Temperatur (Ist);RL-Temperatur (Ist);Öffnung des Durchgangsventils (Soll)
132912114378530000;40;40.1;39.2;14.3088284
132912114378630000;40;40.1;39.2;14.307786
132912114378730000;40;40.1;39.2;14.307786
132912114378830000;40;40.1;39.2;14.307786
132912114378930000;40;40.1;39.2;14.307786
132912114379030000;40;40.1;39.2;14.307786
132912114379130000;40;40.1;39.2;14.3067446
132912114379230000;40;40.1;39.2;14.3067446
132912114379330000;40;40.1;39.2;14.3067446
132912114379430000;40;40.1;39.2;14.3067446
132912114379530000;40;40.1;39.2;14.3067446
132912114379630000;40;40.1;39.2;14.3057032
132912114379730000;40;40.1;39.2;14.3057032
132912114379830000;40;40.1;39.2;14.3057032
132912114379930000;40;40.1;39.2;14.3057032
132912114380030000;40;40.1;39.2;14.3057032
132912114380130000;40;40.1;39.2;14.3046618
132912114380230000;40;40.1;39.2;14.3046618
132912114380330000;40;40.1;39.2;14.3046618
132912114380430000;40;40.1;39.2;14.3046618
132912114380530000;40;40.1;39.2;14.3046618
132912114380630000;40;40.1;39.2;14.3036194
132912114380730000;40;40.1;39.2;14.3036194
132912114380830000;40;40.1;39.2;14.3036194
132912114380930000;40;40.1;39.2;14.3036194
132912114381030000;40;40.1;39.2;14.3036194
132912114381130000;40;40.1;39.2;14.302578
132912114381230000;40;40.1;39.2;14.302578
132912114381330000;40;40.1;39.2;14.302578
132912114381430000;40;40.1;39.2;14.302578
132912114381530000;40;40.1;39.2;14.302578
132912114381630000;40;40.1;39.2;14.3015366
132912114381730000;40;40.1;39.2;14.3015366
132912114381830000;40;40.1;39.2;14.3015366
132912114381930000;40;40.1;39.2;14.3015366
132912114382030000;40;40.1;39.2;14.3015366
132912114382130000;40;40.1;39.2;14.3004951
132912114382230000;40;40.1;39.2;14.3004951
132912114382330000;40;40.1;39.2;14.3004951
132912114382430000;40;40.1;39.2;14.3004951
132912114382530000;40;40.1;39.2;14.3004951
132912114382630000;40;40.1;39.2;14.2994528
132912114382730000;40;40.1;39.2;14.2994528
132912114382830000;40;40.1;39.2;14.2994528
132912114382930000;40;40.1;39.2;14.2994528
132912114383030000;40;40.1;39.2;14.2994528
132912114383130000;40;40.1;39.2;14.2984114
132912114383230000;40;40.1;39.2;14.2984114
132912114383330000;40;40.1;39.2;14.2984114
132912114383430000;40;40.1;39.2;14.2984114
132912114383530000;40;40.1;39.2;14.2984114
132912114383630000;40;40.1;39.2;14.29737
132912114383730000;40;40.1;39.2;14.29737
132912114383830000;40;40.1;39.2;14.29737
132912114383930000;40;40.1;39.2;14.29737
132912114384030000;40;40.1;39.2;14.29737
